"","Genus","species","Model","site","constant_strt","E_a_strt","E_d_strt","T_pk_strt","B0_end","B0_se","Ea_end","Ea_se","Ed_end","Ed_se","Tpk_end","Tpk_se","AIC","BIC","R2","AIC.m","BIC.m","R2.m","b","b_se"
"1","Chironomus",NA,"No Mass","Toledo",3.72772169037426,0.293808236353722,2.45411338769398,277.733520915955,0.0324101280928685,0.0627069647164965,1.60678876048136,2.87708440585338,1.60687046592541,3.01159361667513,345.627759309412,17006.4806647799,-112.680026527531,-99.2693703919103,0.141127051984505,-109.541384480759,-96.1307283451379,0.115524306965453,"NA","NA"
"2","Chironomus",NA,"No Mass","Evora",23.0009951999149,0.749477705666744,2.20000720598361,309.768978071788,0.0341530217383436,0.00940566895135536,1.28412007659908,0.387917627913372,1.28438245222613,0.251655854150569,353.15,5762.35395736408,-390.27710246362,-374.777770324499,0.277063735758822,-384.985871307684,-369.486539168563,0.253013533619829,"NA","NA"
"3","Chironomus",NA,"No Mass","Porto",19.5777060807543,0.336730073713896,2.23425997613816,329.817272934114,0.0364864997730617,0.0206374274236094,0.697487294668349,0.479761950261457,0.715899896552779,0.360580949806746,353.15,623.324028672161,-198.907472383413,-185.405070554451,0.323011389507211,-191.339332088946,-177.836930259984,0.271734866730437,"NA","NA"
"4","Chironomus",NA,"No Mass","Penalara",61.2806496249814,1.42358954399131,2.35916949730554,288.282964682936,0.00430291947650228,0.00101190644323461,0.922114233463686,0.0873432505360044,7.32033102751001,5.81815027111872,313.693093844161,2.58318035241209,-254.198197352258,-241.222598101585,0.643214701069224,-219.013269963879,-206.037670713206,0.455778134404182,"NA","NA"
"5","Cloeon","dipterum","No Mass","Murcia",10.5774635985839,2.37994530429876,0.229615958519505,330.606734054431,0.0686528302795066,0.0114315111932295,0.917180354033592,0.246470386305774,1.48237310563889,1.29745933593972,315.984252723426,10.0686926821318,-12.2498763738169,-2.49365778090976,0.630271922684693,-0.0621364933382864,9.69408209956884,0.489259771467944,"NA","NA"
"6","Cloeon","dipterum","No Mass","Toledo",16.6789071020375,3.1518001739993,0.264131256980167,325.925734292679,0.0216260684193694,0.00355088699727862,1.56193835497745,0.147625228821473,2.23307766669723,0.352591432985911,310.130681554174,1.33504071990457,14.5204214584459,26.7921579397134,0.744135377897588,21.8720399229758,34.1437764042434,0.719202514392733,"NA","NA"
"7","Cloeon","dipterum","No Mass","Evora",16.879640085263,4.13876823690306,0.417107536335046,323.085314310811,0.133961247730491,0.0117297405701817,0.676846709025602,0.0566617216491429,4.28186052437771,2.82114579959449,313.58032142973,1.67712015737648,62.3712753365274,75.8280147476732,0.601074382200961,89.8359274515189,103.292666862665,0.485921990310081,"NA","NA"
"8","Cloeon","dipterum","No Mass","Porto",18.1024224818496,0.0927676405200297,1.08137081753755,297.72802814096,0.0855571982659982,0.00722014774041634,0.848098664212743,0.0845443028030882,1.88739824795187,0.429931322302854,310.744665941182,0.969189264330737,-20.8799724235421,-7.75510835712073,0.637349766983064,-11.4480383631445,1.67682570327691,0.597175079254133,"NA","NA"
"9","Sympetrum","striolatum","No Mass","Toledo",33.6560006942775,0.912545282018888,1.82509056403778,308.15,0.0222779754335714,0.00723658662957863,1.6502760409904,0.690323662224216,1.65034091589864,1.06951571438291,353.15,45577.9730661291,-33.6533585652496,-22.0659179975681,0.264467520074468,-33.4220656081337,-21.8346250404521,0.262185018024664,"NA","NA"
"10","Sympetrum","striolatum","No Mass","Evora",26.4489826879502,0.854109500788211,1.35328571711082,295.198779354297,0.367216781020782,0.036714583680107,0.7526028588682,0.0855308649305782,2.93942859941507,0.443522456986381,307.484349542244,1.12901892479199,289.209880571544,302.757531578105,0.42616834624994,297.549312269224,311.096963275785,0.372784253080335,"NA","NA"
